Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1_060471_IW2_20230330T162040_VV_3802-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230330T162025_20230330T162052_047876_05C0BE_3802/IW2/VV/5.tiff,S1_060471_IW2_20230529T162043_VV_2CF8-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230529T162028_20230529T162055_048751_05DCEC_2CF8/IW2/VV/5.tiff,28,60
S1_060471_IW2_20230423T162041_VV_6FC9-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230423T162026_20230423T162053_048226_05CC8A_6FC9/IW2/VV/5.tiff,S1_060471_IW2_20230610T162043_VV_254B-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230610T162028_20230610T162056_048926_05E237_254B/IW2/VV/5.tiff,28,48
S1_060471_IW2_20231113T162049_VV_28A1-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20231113T162034_20231113T162101_051201_062D21_28A1/IW2/VV/5.tiff,S1_060471_IW2_20240112T162046_VV_C14C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240112T162031_20240112T162058_052076_064B47_C14C/IW2/VV/5.tiff,28,60
S1_060471_IW2_20170331T161922_VV_F9D2-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170331T161908_20170331T161931_004955_008A97_F9D2/IW2/VV/5.tiff,S1_060471_IW2_20170412T161922_VV_18A0-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170412T161908_20170412T161932_005130_008F99_18A0/IW2/VV/5.tiff,27,12
S1_060471_IW2_20170810T161929_VV_BEAC-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170810T161912_20170810T161940_006880_00C1C1_BEAC/IW2/VV/6.tiff,S1_060471_IW2_20170822T161929_VV_75BD-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170822T161913_20170822T161941_007055_00C6D5_75BD/IW2/VV/6.tiff,27,12
S1_060471_IW2_20171009T161931_VV_0D92-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171009T161914_20171009T161942_007755_00DB1D_0D92/IW2/VV/6.tiff,S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,27,60
S1_060471_IW2_20171015T162013_VV_F573-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20171015T161958_20171015T162025_018826_01FC95_F573/IW2/VV/5.tiff,S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,27,54
S1_060471_IW2_20171226T162011_VV_8F38-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20171226T161956_20171226T162024_019876_021D28_8F38/IW2/VV/5.tiff,S1_060471_IW2_20180131T162010_VV_A63B-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180131T161955_20180131T162022_020401_022DC7_A63B/IW2/VV/5.tiff,27,36
S1_060471_IW2_20180125T161928_VV_9D87-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180125T161912_20180125T161935_009330_010BDE_9D87/IW2/VV/6.tiff,S1_060471_IW2_20180326T161928_VV_FAC8-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180326T161911_20180326T161935_010205_0128AD_FAC8/IW2/VV/6.tiff,27,60
S1_060471_IW2_20180320T162010_VV_CFB8-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180320T161955_20180320T162022_021101_02440E_CFB8/IW2/VV/5.tiff,S1_060471_IW2_20180419T161929_VV_F74D-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180419T161912_20180419T161936_010555_0133F2_F74D/IW2/VV/6.tiff,27,30
S1_060471_IW2_20180606T161931_VV_CDF7-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180606T161915_20180606T161943_011255_014A7F_CDF7/IW2/VV/6.tiff,S1_060471_IW2_20180718T162016_VV_FD46-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180718T162001_20180718T162028_022851_027A57_FD46/IW2/VV/5.tiff,27,42
S1_060471_IW2_20180606T161931_VV_CDF7-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180606T161915_20180606T161943_011255_014A7F_CDF7/IW2/VV/6.tiff,S1_060471_IW2_20180724T161935_VV_6763-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180724T161918_20180724T161946_011955_016017_6763/IW2/VV/6.tiff,27,48
S1_060471_IW2_20181121T161937_VV_2A41-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20181121T161921_20181121T161944_013705_019626_2A41/IW2/VV/6.tiff,S1_060471_IW2_20190108T161936_VV_EF20-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190108T161919_20190108T161942_014405_01ACFE_EF20/IW2/VV/6.tiff,27,48
S1_060471_IW2_20190114T162017_VV_34DB-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190114T162002_20190114T162030_025476_02D2DD_34DB/IW2/VV/5.tiff,S1_060471_IW2_20190309T161934_VV_602B-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190309T161918_20190309T161941_015280_01C97F_602B/IW2/VV/6.tiff,27,54
S1_060471_IW2_20190126T162017_VV_C280-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190126T162002_20190126T162029_025651_02D94B_C280/IW2/VV/5.tiff,S1_060471_IW2_20190315T162016_VV_D897-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190315T162001_20190315T162029_026351_02F27B_D897/IW2/VV/5.tiff,27,48
S1_060471_IW2_20190309T161934_VV_602B-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190309T161918_20190309T161941_015280_01C97F_602B/IW2/VV/6.tiff,S1_060471_IW2_20190402T161935_VV_1A66-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190402T161918_20190402T161942_015630_01D4EC_1A66/IW2/VV/6.tiff,27,24
S1_060471_IW2_20190719T161940_VV_8C07-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190719T161924_20190719T161952_017205_0205B9_8C07/IW2/VV/6.tiff,S1_060471_IW2_20190818T162024_VV_9240-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190818T162009_20190818T162036_028626_033D1F_9240/IW2/VV/5.tiff,27,30
S1_060471_IW2_20190923T162026_VV_CA3D-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190923T162011_20190923T162038_029151_034F4C_CA3D/IW2/VV/5.tiff,S1_060471_IW2_20191005T162026_VV_6A74-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20191005T162011_20191005T162038_029326_035557_6A74/IW2/VV/5.tiff,27,12
S1_060471_IW2_20200309T162023_VV_6A5E-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200309T162008_20200309T162035_031601_03A443_6A5E/IW2/VV/5.tiff,S1_060471_IW2_20200321T162023_VV_674A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200321T162008_20200321T162035_031776_03AA60_674A/IW2/VV/5.tiff,27,12
S1_060471_IW2_20200414T162023_VV_0830-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200414T162009_20200414T162036_032126_03B6B8_0830/IW2/VV/5.tiff,S1_060471_IW2_20200426T162024_VV_B5DA-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200426T162009_20200426T162036_032301_03BCD8_B5DA/IW2/VV/5.tiff,27,12
S1_060471_IW2_20200514T161943_VV_194D-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20200514T161926_20200514T161954_021580_028F82_194D/IW2/VV/6.tiff,S1_060471_IW2_20200713T161946_VV_4257-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20200713T161930_20200713T161958_022455_02A9E6_4257/IW2/VV/6.tiff,27,60
S1_060471_IW2_20210503T162030_VV_A697-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210503T162015_20210503T162042_037726_0473C7_A697/IW2/VV/5.tiff,S1_060471_IW2_20210509T161949_VV_11DB-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20210509T161932_20210509T162000_026830_033484_11DB/IW2/VV/6.tiff,27,6
S1_060471_IW2_20210807T162036_VV_28FA-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210807T162021_20210807T162048_039126_049E15_28FA/IW2/VV/5.tiff,S1_060471_IW2_20210813T161954_VV_883F-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20210813T161937_20210813T162005_028230_035E29_883F/IW2/VV/6.tiff,27,6
S1_060471_IW2_20210813T161954_VV_883F-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20210813T161937_20210813T162005_028230_035E29_883F/IW2/VV/6.tiff,S1_060471_IW2_20210825T161955_VV_FB02-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20210825T161938_20210825T162006_028405_03639D_FB02/IW2/VV/6.tiff,27,12
S1_060471_IW2_20211205T162037_VV_0F5C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211205T162022_20211205T162049_040876_04DA8C_0F5C/IW2/VV/5.tiff,S1_060471_IW2_20220203T162034_VV_5AAD-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220203T162019_20220203T162046_041751_04F7E5_5AAD/IW2/VV/5.tiff,27,60
S1_060471_IW2_20221224T162042_VV_0DEB-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20221224T162027_20221224T162054_046476_05918D_0DEB/IW2/VV/5.tiff,S1_060471_IW2_20230117T162040_VV_45B2-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230117T162026_20230117T162053_046826_059D5F_45B2/IW2/VV/5.tiff,27,24
