Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1_060471_IW2_20181209T162018_VV_3284-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20181209T162004_20181209T162031_024951_02BFEF_3284/IW2/VV/5.tiff,S1_060471_IW2_20190225T161935_VV_3762-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190225T161918_20190225T161941_015105_01C3BC_3762/IW2/VV/6.tiff,139,78
S1_060471_IW2_20201222T162031_VV_78D8-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20201222T162016_20201222T162043_035801_0430E1_78D8/IW2/VV/5.tiff,S1_060471_IW2_20210304T162028_VV_0663-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210304T162013_20210304T162041_036851_045566_0663/IW2/VV/5.tiff,0,72
S1_060471_IW2_20170301T162003_VV_E396-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170301T161948_20170301T162015_015501_019761_E396/IW2/VV/5.tiff,S1_060471_IW2_20170605T162007_VV_5A2A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170605T161952_20170605T162019_016901_01C1E5_5A2A/IW2/VV/5.tiff,69,96
S1_060471_IW2_20170605T162007_VV_5A2A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170605T161952_20170605T162019_016901_01C1E5_5A2A/IW2/VV/5.tiff,S1_060471_IW2_20170903T161930_VV_6416-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170903T161913_20170903T161941_007230_00CBEA_6416/IW2/VV/6.tiff,51,90
S1_060471_IW2_20170903T161930_VV_6416-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170903T161913_20170903T161941_007230_00CBEA_6416/IW2/VV/6.tiff,S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,44,96
S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,S1_060471_IW2_20180326T161928_VV_FAC8-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180326T161911_20180326T161935_010205_0128AD_FAC8/IW2/VV/6.tiff,13,108
S1_060471_IW2_20180326T161928_VV_FAC8-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180326T161911_20180326T161935_010205_0128AD_FAC8/IW2/VV/6.tiff,S1_060471_IW2_20180612T162014_VV_2BE3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180612T161959_20180612T162026_022326_026AAD_2BE3/IW2/VV/5.tiff,38,78
S1_060471_IW2_20180612T162014_VV_2BE3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180612T161959_20180612T162026_022326_026AAD_2BE3/IW2/VV/5.tiff,S1_060471_IW2_20180910T161937_VV_46C9-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180910T161920_20180910T161948_012655_0175A4_46C9/IW2/VV/6.tiff,17,90
S1_060471_IW2_20180910T161937_VV_46C9-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180910T161920_20180910T161948_012655_0175A4_46C9/IW2/VV/6.tiff,S1_060471_IW2_20181203T161937_VV_292D-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20181203T161920_20181203T161944_013880_019BC4_292D/IW2/VV/6.tiff,17,84
S1_060471_IW2_20181203T161937_VV_292D-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20181203T161920_20181203T161944_013880_019BC4_292D/IW2/VV/6.tiff,S1_060471_IW2_20190303T162016_VV_326F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190303T162002_20190303T162029_026176_02EC0E_326F/IW2/VV/5.tiff,36,90
S1_060471_IW2_20190303T162016_VV_326F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190303T162002_20190303T162029_026176_02EC0E_326F/IW2/VV/5.tiff,S1_060471_IW2_20190601T161937_VV_9F21-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190601T161921_20190601T161949_016505_01F10F_9F21/IW2/VV/6.tiff,7,90
S1_060471_IW2_20190601T161937_VV_9F21-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190601T161921_20190601T161949_016505_01F10F_9F21/IW2/VV/6.tiff,S1_060471_IW2_20190830T162024_VV_8D24-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190830T162010_20190830T162037_028801_034342_8D24/IW2/VV/5.tiff,95,90
S1_060471_IW2_20190830T162024_VV_8D24-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190830T162010_20190830T162037_028801_034342_8D24/IW2/VV/5.tiff,S1_060471_IW2_20191204T162025_VV_0536-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20191204T162010_20191204T162037_030201_0373B4_0536/IW2/VV/5.tiff,78,96
S1_060471_IW2_20191204T162025_VV_0536-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20191204T162010_20191204T162037_030201_0373B4_0536/IW2/VV/5.tiff,S1_060471_IW2_20200309T162023_VV_6A5E-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200309T162008_20200309T162035_031601_03A443_6A5E/IW2/VV/5.tiff,23,96
S1_060471_IW2_20200309T162023_VV_6A5E-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200309T162008_20200309T162035_031601_03A443_6A5E/IW2/VV/5.tiff,S1_060471_IW2_20200601T162026_VV_1F6D-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200601T162011_20200601T162038_032826_03CD60_1F6D/IW2/VV/5.tiff,31,84
S1_060471_IW2_20200601T162026_VV_1F6D-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200601T162011_20200601T162038_032826_03CD60_1F6D/IW2/VV/5.tiff,S1_060471_IW2_20200905T162031_VV_E813-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200905T162017_20200905T162044_034226_03FA1D_E813/IW2/VV/5.tiff,5,96
S1_060471_IW2_20200905T162031_VV_E813-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200905T162017_20200905T162044_034226_03FA1D_E813/IW2/VV/5.tiff,S1_060471_IW2_20201128T162032_VV_AD55-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20201128T162017_20201128T162044_035451_0424D6_AD55/IW2/VV/5.tiff,127,84
S1_060471_IW2_20201128T162032_VV_AD55-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20201128T162017_20201128T162044_035451_0424D6_AD55/IW2/VV/5.tiff,S1_060471_IW2_20210304T162028_VV_0663-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210304T162013_20210304T162041_036851_045566_0663/IW2/VV/5.tiff,155,96
S1_060471_IW2_20210304T162028_VV_0663-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210304T162013_20210304T162041_036851_045566_0663/IW2/VV/5.tiff,S1_060471_IW2_20210608T162032_VV_2DD1-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210608T162017_20210608T162044_038251_048397_2DD1/IW2/VV/5.tiff,19,96
S1_060471_IW2_20210608T162032_VV_2DD1-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210608T162017_20210608T162044_038251_048397_2DD1/IW2/VV/5.tiff,S1_060471_IW2_20210906T161955_VV_02BC-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20210906T161939_20210906T162007_028580_036921_02BC/IW2/VV/6.tiff,3,90
S1_060471_IW2_20210906T161955_VV_02BC-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20210906T161939_20210906T162007_028580_036921_02BC/IW2/VV/6.tiff,S1_060471_IW2_20211217T162036_VV_E223-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211217T162022_20211217T162049_041051_04E07D_E223/IW2/VV/5.tiff,87,102
S1_060471_IW2_20211217T162036_VV_E223-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211217T162022_20211217T162049_041051_04E07D_E223/IW2/VV/5.tiff,S1_060471_IW2_20220227T162034_VV_5E49-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220227T162019_20220227T162046_042101_050412_5E49/IW2/VV/5.tiff,75,72
S1_060471_IW2_20220227T162034_VV_5E49-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220227T162019_20220227T162046_042101_050412_5E49/IW2/VV/5.tiff,S1_060471_IW2_20220615T162038_VV_512C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220615T162024_20220615T162051_043676_0536E7_512C/IW2/VV/5.tiff,76,108
S1_060471_IW2_20220615T162038_VV_512C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220615T162024_20220615T162051_043676_0536E7_512C/IW2/VV/5.tiff,S1_060471_IW2_20220919T162043_VV_A797-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220919T162028_20220919T162056_045076_0562EC_A797/IW2/VV/5.tiff,81,96
S1_060471_IW2_20220919T162043_VV_A797-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220919T162028_20220919T162056_045076_0562EC_A797/IW2/VV/5.tiff,S1_060471_IW2_20230105T162041_VV_4E8F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230105T162026_20230105T162054_046651_059775_4E8F/IW2/VV/5.tiff,110,108
S1_060471_IW2_20230105T162041_VV_4E8F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230105T162026_20230105T162054_046651_059775_4E8F/IW2/VV/5.tiff,S1_060471_IW2_20230318T162040_VV_31F3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230318T162025_20230318T162052_047701_05BAE7_31F3/IW2/VV/5.tiff,59,72
S1_060471_IW2_20230318T162040_VV_31F3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230318T162025_20230318T162052_047701_05BAE7_31F3/IW2/VV/5.tiff,S1_060471_IW2_20230610T162043_VV_254B-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230610T162028_20230610T162056_048926_05E237_254B/IW2/VV/5.tiff,80,84
S1_060471_IW2_20230610T162043_VV_254B-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230610T162028_20230610T162056_048926_05E237_254B/IW2/VV/5.tiff,S1_060471_IW2_20230902T162048_VV_C57C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230902T162034_20230902T162101_050151_060939_C57C/IW2/VV/5.tiff,6,84
S1_060471_IW2_20230902T162048_VV_C57C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230902T162034_20230902T162101_050151_060939_C57C/IW2/VV/5.tiff,S1_060471_IW2_20231219T162047_VV_554A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20231219T162032_20231219T162059_051726_063F4E_554A/IW2/VV/5.tiff,74,108
S1_060471_IW2_20231219T162047_VV_554A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20231219T162032_20231219T162059_051726_063F4E_554A/IW2/VV/5.tiff,S1_060471_IW2_20240324T162045_VV_214F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240324T162030_20240324T162057_053126_066F7A_214F/IW2/VV/5.tiff,0,96
S1_060471_IW2_20240324T162045_VV_214F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240324T162030_20240324T162057_053126_066F7A_214F/IW2/VV/5.tiff,S1_060471_IW2_20240604T162046_VV_1557-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240604T162031_20240604T162058_054176_0696A9_1557/IW2/VV/5.tiff,0,72
S1_060471_IW2_20240604T162046_VV_1557-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240604T162031_20240604T162058_054176_0696A9_1557/IW2/VV/5.tiff,S1_060471_IW2_20240908T162044_VV_BA33-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240908T162030_20240908T162057_055576_06C88B_BA33/IW2/VV/5.tiff,0,96
S1_060471_IW2_20240908T162044_VV_BA33-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240908T162030_20240908T162057_055576_06C88B_BA33/IW2/VV/5.tiff,S1_060471_IW2_20241201T162044_VV_8FEC-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20241201T162029_20241201T162056_056801_06F91E_8FEC/IW2/VV/5.tiff,0,84
S1_060471_IW2_20170301T162003_VV_E396-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170301T161948_20170301T162015_015501_019761_E396/IW2/VV/5.tiff,S1_060471_IW2_20170903T161930_VV_6416-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170903T161913_20170903T161941_007230_00CBEA_6416/IW2/VV/6.tiff,18,186
S1_060471_IW2_20170903T161930_VV_6416-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20170903T161913_20170903T161941_007230_00CBEA_6416/IW2/VV/6.tiff,S1_060471_IW2_20180326T161928_VV_FAC8-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180326T161911_20180326T161935_010205_0128AD_FAC8/IW2/VV/6.tiff,31,204
S1_060471_IW2_20180326T161928_VV_FAC8-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180326T161911_20180326T161935_010205_0128AD_FAC8/IW2/VV/6.tiff,S1_060471_IW2_20180910T161937_VV_46C9-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180910T161920_20180910T161948_012655_0175A4_46C9/IW2/VV/6.tiff,55,168
S1_060471_IW2_20180910T161937_VV_46C9-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180910T161920_20180910T161948_012655_0175A4_46C9/IW2/VV/6.tiff,S1_060471_IW2_20190303T162016_VV_326F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190303T162002_20190303T162029_026176_02EC0E_326F/IW2/VV/5.tiff,53,174
S1_060471_IW2_20190303T162016_VV_326F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190303T162002_20190303T162029_026176_02EC0E_326F/IW2/VV/5.tiff,S1_060471_IW2_20190830T162024_VV_8D24-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190830T162010_20190830T162037_028801_034342_8D24/IW2/VV/5.tiff,88,180
S1_060471_IW2_20190830T162024_VV_8D24-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20190830T162010_20190830T162037_028801_034342_8D24/IW2/VV/5.tiff,S1_060471_IW2_20200309T162023_VV_6A5E-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200309T162008_20200309T162035_031601_03A443_6A5E/IW2/VV/5.tiff,55,192
S1_060471_IW2_20200309T162023_VV_6A5E-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200309T162008_20200309T162035_031601_03A443_6A5E/IW2/VV/5.tiff,S1_060471_IW2_20200905T162031_VV_E813-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200905T162017_20200905T162044_034226_03FA1D_E813/IW2/VV/5.tiff,26,180
S1_060471_IW2_20200905T162031_VV_E813-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200905T162017_20200905T162044_034226_03FA1D_E813/IW2/VV/5.tiff,S1_060471_IW2_20210304T162028_VV_0663-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210304T162013_20210304T162041_036851_045566_0663/IW2/VV/5.tiff,28,180
S1_060471_IW2_20210304T162028_VV_0663-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210304T162013_20210304T162041_036851_045566_0663/IW2/VV/5.tiff,S1_060471_IW2_20210906T161955_VV_02BC-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20210906T161939_20210906T162007_028580_036921_02BC/IW2/VV/6.tiff,22,186
S1_060471_IW2_20210906T161955_VV_02BC-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20210906T161939_20210906T162007_028580_036921_02BC/IW2/VV/6.tiff,S1_060471_IW2_20220227T162034_VV_5E49-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220227T162019_20220227T162046_042101_050412_5E49/IW2/VV/5.tiff,12,174
S1_060471_IW2_20220227T162034_VV_5E49-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220227T162019_20220227T162046_042101_050412_5E49/IW2/VV/5.tiff,S1_060471_IW2_20220919T162043_VV_A797-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220919T162028_20220919T162056_045076_0562EC_A797/IW2/VV/5.tiff,5,204
S1_060471_IW2_20220919T162043_VV_A797-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220919T162028_20220919T162056_045076_0562EC_A797/IW2/VV/5.tiff,S1_060471_IW2_20230318T162040_VV_31F3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230318T162025_20230318T162052_047701_05BAE7_31F3/IW2/VV/5.tiff,51,180
S1_060471_IW2_20230318T162040_VV_31F3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230318T162025_20230318T162052_047701_05BAE7_31F3/IW2/VV/5.tiff,S1_060471_IW2_20230902T162048_VV_C57C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230902T162034_20230902T162101_050151_060939_C57C/IW2/VV/5.tiff,86,168
S1_060471_IW2_20230902T162048_VV_C57C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230902T162034_20230902T162101_050151_060939_C57C/IW2/VV/5.tiff,S1_060471_IW2_20240324T162045_VV_214F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240324T162030_20240324T162057_053126_066F7A_214F/IW2/VV/5.tiff,74,204
S1_060471_IW2_20240324T162045_VV_214F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240324T162030_20240324T162057_053126_066F7A_214F/IW2/VV/5.tiff,S1_060471_IW2_20240908T162044_VV_BA33-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240908T162030_20240908T162057_055576_06C88B_BA33/IW2/VV/5.tiff,0,168
S1_060471_IW2_20170605T162007_VV_5A2A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170605T161952_20170605T162019_016901_01C1E5_5A2A/IW2/VV/5.tiff,S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,7,186
S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,S1_060471_IW2_20180612T162014_VV_2BE3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180612T161959_20180612T162026_022326_026AAD_2BE3/IW2/VV/5.tiff,51,186
S1_060471_IW2_20180612T162014_VV_2BE3-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20180612T161959_20180612T162026_022326_026AAD_2BE3/IW2/VV/5.tiff,S1_060471_IW2_20181203T161937_VV_292D-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20181203T161920_20181203T161944_013880_019BC4_292D/IW2/VV/6.tiff,0,174
S1_060471_IW2_20181203T161937_VV_292D-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20181203T161920_20181203T161944_013880_019BC4_292D/IW2/VV/6.tiff,S1_060471_IW2_20190601T161937_VV_9F21-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190601T161921_20190601T161949_016505_01F10F_9F21/IW2/VV/6.tiff,43,180
S1_060471_IW2_20190601T161937_VV_9F21-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190601T161921_20190601T161949_016505_01F10F_9F21/IW2/VV/6.tiff,S1_060471_IW2_20191204T162025_VV_0536-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20191204T162010_20191204T162037_030201_0373B4_0536/IW2/VV/5.tiff,17,186
S1_060471_IW2_20191204T162025_VV_0536-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20191204T162010_20191204T162037_030201_0373B4_0536/IW2/VV/5.tiff,S1_060471_IW2_20200601T162026_VV_1F6D-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200601T162011_20200601T162038_032826_03CD60_1F6D/IW2/VV/5.tiff,8,180
S1_060471_IW2_20200601T162026_VV_1F6D-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20200601T162011_20200601T162038_032826_03CD60_1F6D/IW2/VV/5.tiff,S1_060471_IW2_20201128T162032_VV_AD55-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20201128T162017_20201128T162044_035451_0424D6_AD55/IW2/VV/5.tiff,132,180
S1_060471_IW2_20201128T162032_VV_AD55-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20201128T162017_20201128T162044_035451_0424D6_AD55/IW2/VV/5.tiff,S1_060471_IW2_20210608T162032_VV_2DD1-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210608T162017_20210608T162044_038251_048397_2DD1/IW2/VV/5.tiff,136,192
S1_060471_IW2_20210608T162032_VV_2DD1-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20210608T162017_20210608T162044_038251_048397_2DD1/IW2/VV/5.tiff,S1_060471_IW2_20211217T162036_VV_E223-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211217T162022_20211217T162049_041051_04E07D_E223/IW2/VV/5.tiff,90,192
S1_060471_IW2_20211217T162036_VV_E223-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211217T162022_20211217T162049_041051_04E07D_E223/IW2/VV/5.tiff,S1_060471_IW2_20220615T162038_VV_512C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220615T162024_20220615T162051_043676_0536E7_512C/IW2/VV/5.tiff,1,180
S1_060471_IW2_20220615T162038_VV_512C-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220615T162024_20220615T162051_043676_0536E7_512C/IW2/VV/5.tiff,S1_060471_IW2_20230105T162041_VV_4E8F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230105T162026_20230105T162054_046651_059775_4E8F/IW2/VV/5.tiff,29,204
S1_060471_IW2_20230105T162041_VV_4E8F-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230105T162026_20230105T162054_046651_059775_4E8F/IW2/VV/5.tiff,S1_060471_IW2_20230610T162043_VV_254B-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230610T162028_20230610T162056_048926_05E237_254B/IW2/VV/5.tiff,139,156
S1_060471_IW2_20230610T162043_VV_254B-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230610T162028_20230610T162056_048926_05E237_254B/IW2/VV/5.tiff,S1_060471_IW2_20231219T162047_VV_554A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20231219T162032_20231219T162059_051726_063F4E_554A/IW2/VV/5.tiff,68,192
S1_060471_IW2_20231219T162047_VV_554A-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20231219T162032_20231219T162059_051726_063F4E_554A/IW2/VV/5.tiff,S1_060471_IW2_20240604T162046_VV_1557-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240604T162031_20240604T162058_054176_0696A9_1557/IW2/VV/5.tiff,0,168
S1_060471_IW2_20240604T162046_VV_1557-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240604T162031_20240604T162058_054176_0696A9_1557/IW2/VV/5.tiff,S1_060471_IW2_20241201T162044_VV_8FEC-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20241201T162029_20241201T162056_056801_06F91E_8FEC/IW2/VV/5.tiff,0,180
S1_060471_IW2_20170301T162003_VV_E396-BURST,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20170301T161948_20170301T162015_015501_019761_E396/IW2/VV/5.tiff,S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,62,282
S1_060471_IW2_20171208T161930_VV_E151-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20171208T161913_20171208T161937_008630_00F535_E151/IW2/VV/6.tiff,S1_060471_IW2_20180910T161937_VV_46C9-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180910T161920_20180910T161948_012655_0175A4_46C9/IW2/VV/6.tiff,68,276
S1_060471_IW2_20180910T161937_VV_46C9-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20180910T161920_20180910T161948_012655_0175A4_46C9/IW2/VV/6.tiff,S1_060471_IW2_20190601T161937_VV_9F21-BURST,https://sentinel1-burst.asf.alaska.edu/S1B_IW_SLC__1SDV_20190601T161921_20190601T161949_016505_01F10F_9F21/IW2/VV/6.tiff,60,264
